pattern_name,description,url
Multiple service instances per host,"How are services packaged and deployed? Run multiple instances of different services on a host (Physical or Virtual machine). There are various ways of deploying a service instance on a shared host including:- Deploy each service instance as a JVM process. For example, a Tomcat or Jetty instances per service instance; - Deploy multiple service instances in the same JVM. For example, as web applications or OSGI bundles.",https://microservices.io/patterns/deployment/multiple-services-per-host.html
Service instance per container, "How are services packaged and deployed? Package the service as a (Docker) container image and deploy each service instance as a container", https://microservices.io/patterns/deployment/service-per-container.html
Single Service Instance per Host, "How are services packaged and deployed? Deploy each single service instance on its own host", https://microservices.io/patterns/deployment/single-service-per-host.html
Service mesh, "You must implement numerous cross-cutting concerns including: - Externalized configuration - includes credentials, and network locations of external services such as databases and message brokers;- Logging - configuring of a logging framework such as log4j or logback; - Health checks - a url that a monitoring service can “ping” to determine the health of the application; - Metrics - measurements that provide insight into what the application is doing and how it is performing; - Distributed tracing - instrument services with code that assigns each external request an unique identifier that is passed between services.", https://microservices.io/patterns/deployment/service-mesh.html
Service instance per VM, "How are services packaged and deployed? Package the service as a virtual machine image and deploy each service instance as a separate VM", https://microservices.io/patterns/deployment/service-per-vm.html
Service deployment platform, "How are services packaged and deployed? Use a deployment platform, which is automated infrastructure for application deployment. It provides a service abstraction, which is a named, set of highly available (e.g. load balanced) service instances.", https://microservices.io/patterns/deployment/service-deployment-platform.html
Service registry, "How do clients of a service (in the case of Client-side discovery) and/or routers (in the case of Server-side discovery) know about the available instances of a service? Implement a service registry, which is a database of services, their instances and their locations. Service instances are registered with the service registry on startup and deregistered on shutdown. Client of the service and/or routers query the service registry to find the available instances of a service. A service registry might invoke a service instance’s health check API to verify that it is able to handle requests", https://microservices.io/patterns/service-registry.html
Server-side service discovery, "How does the client of a service - the API gateway or another service - discover the location of a service instance? When making a request to a service, the client makes a request via a router (a.k.a load balancer) that runs at a well known location. The router queries a service registry, which might be built into the router, and forwards the request to an available service instance.", https://microservices.io/patterns/server-side-discovery.html
3rd Party Registration, "How are service instances registered with and unregistered from the service registry? A 3rd party registrar is responsible for registering and unregistering a service instance with the service registry. When the service instance starts up, the registrar registers the service instance with the service registry. When the service instance shuts downs, the registrar unregisters the service instance from the service registry.", https://microservices.io/patterns/3rd-party-registration.html
